iter	Passed	Remaining
675	1370	656
676	1372	654
677	1373	652
678	1375	650
679	1377	648
680	1379	646
681	1380	643
682	1382	641
683	1383	639
684	1385	637
685	1387	635
686	1389	632
687	1390	630
688	1392	628
689	1394	626
690	1396	624
691	1398	622
692	1400	620
693	1402	618
694	1403	616
695	1405	613
696	1406	611
697	1408	609
698	1410	607
699	1411	605
700	1413	602
701	1414	600
702	1416	598
703	1418	596
704	1419	594
705	1421	591
706	1423	589
707	1425	587
708	1426	585
709	1428	583
710	1429	581
711	1431	579
712	1433	577
713	1435	574
714	1436	572
715	1438	570
716	1440	568
717	1442	566
718	1443	564
719	1445	562
720	1448	560
721	1449	558
722	1451	556
723	1453	554
724	1455	552
725	1457	550
726	1458	547
727	1460	545
728	1463	543
729	1465	541
730	1467	539
731	1469	538
732	1471	536
733	1473	533
734	1474	531
735	1476	529
736	1478	527
737	1480	525
738	1481	523
739	1483	521
740	1486	519
741	1487	517
742	1489	515
743	1491	513
744	1493	511
745	1495	509
746	1497	507
747	1498	504
748	1500	502
749	1502	500
750	1503	498
751	1505	496
752	1507	494
753	1508	492
754	1509	489
755	1511	487
756	1512	485
757	1515	483
758	1516	481
759	1518	479
760	1519	477
761	1522	475
762	1524	473
763	1525	471
764	1526	469
765	1528	466
766	1530	464
767	1531	462
768	1533	460
769	1535	458
770	1536	456
771	1538	454
772	1539	452
773	1541	450
774	1542	447
775	1544	445
776	1546	443
777	1547	441
778	1549	439
779	1552	437
780	1553	435
781	1555	433
782	1556	431
783	1557	429
784	1559	427
785	1561	425
786	1563	423
787	1564	420
788	1566	418
789	1568	416
790	1569	414
791	1571	412
792	1572	410
793	1575	408
794	1577	406
795	1578	404
796	1579	402
797	1581	400
798	1584	398
799	1586	396
800	1588	394
801	1590	392
802	1592	390
803	1593	388
804	1595	386
805	1597	384
806	1599	382
807	1600	380
808	1602	378
809	1604	376
810	1606	374
811	1608	372
812	1609	370
813	1611	368
814	1613	366
815	1614	364
816	1616	362
817	1617	359
818	1619	358
819	1622	356
820	1623	353
821	1624	351
822	1626	349
823	1628	347
824	1630	345
825	1631	343
826	1633	341
827	1635	339
828	1637	337
829	1638	335
830	1640	333
831	1641	331
832	1644	329
833	1645	327
834	1647	325
835	1649	323
836	1652	321
837	1653	319
838	1655	317
839	1656	315
840	1659	313
841	1660	311
842	1662	309
843	1663	307
844	1665	305
845	1667	303
846	1669	301
847	1670	299
848	1672	297
849	1674	295
850	1676	293
851	1677	291
852	1679	289
853	1682	287
854	1684	285
855	1685	283
856	1688	281
857	1690	279
858	1691	277
859	1693	275
860	1696	273
861	1698	271
862	1700	269
863	1702	267
864	1705	266
865	1706	264
866	1708	262
867	1710	260
868	1712	258
869	1714	256
870	1716	254
871	1719	252
872	1721	250
873	1723	248
874	1726	246
875	1728	244
876	1730	242
877	1732	240
878	1735	238
879	1736	236
880	1738	234
881	1740	232
882	1743	230
883	1745	229
884	1747	227
885	1750	225
886	1752	223
887	1753	221
888	1756	219
889	1758	217
890	1760	215
891	1762	213
892	1764	211
893	1766	209
894	1768	207
895	1770	205
896	1773	203
897	1775	201
898	1777	199
899	1779	197
900	1781	195
901	1782	193
902	1784	191
903	1787	189
904	1789	187
905	1790	185
906	1793	183
907	1795	181
908	1797	179
909	1799	177
910	1801	175
911	1803	173
912	1805	172
913	1807	170
914	1810	168
915	1812	166
916	1813	164
917	1816	162
918	1818	160
919	1819	158
920	1821	156
921	1824	154
922	1826	152
923	1827	150
924	1830	148
925	1833	146
926	1836	144
927	1838	142
928	1841	140
929	1843	138
930	1845	136
931	1847	134
932	1849	132
933	1851	130
934	1854	128
935	1856	126
936	1858	124
937	1860	123
938	1863	121
939	1865	119
940	1866	117
941	1869	115
942	1871	113
943	1873	111
944	1875	109
945	1877	107
946	1879	105
947	1881	103
948	1883	101
949	1885	99
950	1887	97
951	1889	95
952	1892	93
953	1895	91
954	1898	89
955	1900	87
956	1903	85
957	1905	83
958	1907	81
959	1908	79
960	1910	77
961	1913	75
962	1915	73
963	1917	71
964	1919	69
965	1921	67
966	1923	65
967	1925	63
968	1927	61
969	1929	59
970	1930	57
971	1932	55
972	1934	53
973	1936	51
974	1938	49
975	1940	47
976	1942	45
977	1944	43
978	1946	41
979	1948	39
980	1950	37
981	1952	35
982	1954	33
983	1956	31
984	1960	29
985	1962	27
986	1964	25
987	1967	23
988	1969	21
989	1971	19
990	1974	17
991	1976	15
992	1977	13
993	1979	11
994	1982	9
995	1984	7
996	1985	5
997	1987	3
998	1989	1
999	1990	0
